country,client,project
Albania,World Bank , City to City (C2C) Dialogues in Seven Balkan Countries   
Angola,USAID , Program Evaluation for Effectiveness and Learning (PEEL): Feed the Future Farmer to Farmer Evaluation
Armenia,USAID , Program Evaluation for Effectiveness and Learning (PEEL): Feed the Future Farmer to Farmer Evaluation
Azerbaijan,Department of State (DOS) , Outcome Assessment of Democracy Human Rights & Labor (DRL) Media Freedom Programs    
Azerbaijan,International Finance Corporation (IFC) , Azerbaijan Mortgage Law Assessment   
Azerbaijan,OSI Europe Foundation , Assessment of Utility of the Economic Research Center: Azerbaijan's (ERC) Think Tank Fund   
Azerbaijan,World Bank , Azerbaijan Mortgage Bond Project   
Bangladesh,FMO , Bangladesh Summit Alliance Port Impact Evaluation   
Bangladesh,FMO , Evaluation Design & Baseline Data Development for Bangladesh Summit Alliance Port Project   
Bangladesh,International Finance Corporation (IFC) , Process Review and Diagnostic for Simplification of Bangladesh Land Administration   
Bangladesh,Results for Development , Transparency and Accountability Program (TAP)   
Bangladesh,USAID , Bangladesh Accelerating Capacity for Monitoring and Evaluation Activity (ACME)   
Bangladesh,USAID , Countering Bangladesh Violent Extremism Impact Evaluation Design   
Bangladesh,USAID , Program Evaluation for Effectiveness and Learning (PEEL): Feed the Future Farmer to Farmer Evaluation
Belarus,Department of State (DOS) , Outcome Assessment of Democracy Human Rights & Labor (DRL) Media Freedom Programs    
Belarus,USAID ," Final Performance Evaluation of Belarus Strengthening Civil Society, Civic Engagement and Independent Media (BRAMA)    "
Benin,KFW/DEG , Competitive African Cotton for Pro Poor Growth (COMPACI) Evaluation & Monitoring  
Benin,MCC , Benin & Cape Verde Port Projects Evaluation   
Benin,MCC , Benin Access to Financial Services Performance Evaluation   
Benin,MCC , Impact Evaluation Design and Implementation Services in Benin   
Bolivia,USAID , Initiative for Conservation in the Andean Amazon (ICAA)   
Bosnia & Herzegovina,World Bank , City to City (C2C) Dialogues in Seven Balkan Countries   
Brazil,U.S. Department of State (DoS) , Performance Evaluation of Mosquito Challenge Community Campaign (MCCC)   
Burkina Faso,GIZ , African Cashew Initiative (ACI) Monitoring and Evaluation System   
Burkina Faso,International Finance Corporation (IFC) , Global Agriculture and Food Security Program (GAFSP): Burkina Faso Poverty Assessment   
Burkina Faso,KFW/DEG , Competitive African Cotton for Pro Poor Growth (COMPACI) Evaluation & Monitoring  
Burkina Faso,MCA Burkina Faso , Agricultural Data Collection in the Sourou Valley and Comoe Basin   
Burkina Faso,MCC , Burkina Faso Rural Land Governance Project   
Burkina Faso,USAID , Burkina Faso Voices for Peace Impact Evaluation   
Burkina Faso,USAID , Consortium for Elections and Political Process Strengthening (CEPPS): Partnership for Participation and Poise in Epic Polls Activity   
Burkina Faso,USAID , Endline Performance Evaluation for the Victory against Malnutrition (ViM) Project.   
Burkina Faso,USAID , Livelihood Diversification Study   
